iter	Passed	Remaining
0	1	121
1	2	111
2	3	106
3	4	98
4	5	98
5	6	98
6	7	97
7	8	97
8	9	96
9	10	96
10	11	96
11	13	95
12	14	93
13	15	93
14	16	91
15	17	90
16	18	89
17	19	88
18	20	87
19	21	86
20	22	85
21	23	83
22	24	83
23	26	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	33	75
31	34	74
32	36	73
33	37	72
34	38	71
35	39	70
36	41	69
37	42	68
38	43	67
39	44	66
40	45	65
41	45	63
42	46	62
43	47	61
44	49	59
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	66	42
61	69	42
62	70	41
63	71	40
64	72	39
65	73	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	29
74	84	28
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	19
83	93	17
84	94	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
