iter	Passed	Remaining
0	195	195533
1	199	99336
2	200	66683
3	202	50367
4	204	40754
5	206	34236
6	207	29471
7	208	25895
8	213	23544
9	215	21362
10	216	19476
11	217	17904
12	218	16608
13	219	15493
14	220	14503
15	221	13646
16	224	13005
17	227	12396
18	228	11781
19	229	11236
20	230	10739
21	231	10287
22	232	9879
23	233	9498
24	234	9151
25	235	8828
26	236	8532
27	237	8250
28	239	8027
29	241	7796
30	242	7570
31	243	7354
32	243	7149
33	244	6958
34	245	6779
35	246	6608
36	247	6446
37	249	6309
38	250	6165
39	251	6029
40	255	5966
41	256	5847
42	257	5734
43	258	5619
44	259	5510
45	260	5407
46	261	5305
47	262	5210
48	263	5120
49	264	5031
50	268	5004
51	270	4923
52	271	4842
53	272	4765
54	273	4692
55	274	4622
56	275	4552
57	276	4486
58	277	4424
59	278	4363
60	279	4303
61	281	4253
62	282	4205
63	283	4153
64	285	4103
65	286	4053
66	287	4003
67	288	3954
68	289	3907
69	290	3859
70	291	3814
71	292	3771
72	293	3730
73	295	3697
74	298	3675
75	299	3637
76	300	3599
77	301	3562
78	302	3526
79	303	3490
80	304	3455
81	305	3422
82	306	3384
83	307	3352
84	308	3320
85	309	3294
86	311	3270
87	312	3241
88	313	3212
89	314	3184
90	316	3157
91	317	3131
92	318	3104
93	319	3079
94	320	3052
95	321	3028
96	322	3005
97	325	2997
98	326	2974
99	328	2952
100	329	2929
101	330	2907
102	331	2886
103	332	2867
104	334	2847
105	335	2828
106	336	2809
107	340	2810
108	341	2794
109	343	2777
110	344	2759
111	345	2743
112	347	2726
113	348	2709
114	349	2692
115	351	2676
116	352	2659
117	354	2651
118	356	2638
119	357	2623
120	359	2609
121	360	2593
122	361	2578
123	362	2563
124	364	2549
125	365	2536
126	366	2521
127	369	2517
128	371	2505
129	372	2493
130	373	2480
131	376	2472
132	377	2460
133	378	2448
134	380	2439
135	382	2430
136	385	2427
137	387	2419
138	388	2408
139	390	2398
140	391	2386
141	392	2374
142	394	2362
143	395	2350
144	396	2340
145	398	2333
146	400	2323
147	401	2313
148	403	2303
149	404	2292
150	406	2282
151	407	2271
152	408	2262
153	409	2251
154	414	2262
155	416	2254
156	418	2245
157	419	2235
158	420	2225
159	422	2217
160	423	2208
161	425	2199
162	428	2201
163	430	2195
164	432	2188
165	433	2180
166	435	2172
167	436	2164
168	438	2156
169	440	2149
170	443	2149
171	444	2141
172	446	2134
173	448	2126
174	449	2121
175	451	2113
176	452	2105
177	454	2097
178	456	2095
179	458	2090
180	460	2083
181	461	2075
182	463	2067
183	464	2060
184	465	2052
185	467	2045
186	469	2040
187	472	2041
188	474	2034
189	476	2029
190	477	2022
191	478	2014
192	479	2006
193	480	1997
194	482	1990
195	483	1983
196	487	1988
197	489	1982
198	491	1976
199	492	1969
200	494	1963
201	495	1957
202	496	1950
203	498	1944
204	499	1937
205	503	1939
206	504	1933
207	506	1927
208	507	1920
209	508	1913
210	509	1906
211	511	1901
212	512	1894
213	513	1887
214	516	1884
215	517	1879
216	519	1873
217	520	1867
218	521	1860
219	522	1853
220	524	1847
221	525	1841
222	526	1835
223	528	1831
224	530	1828
225	532	1824
226	534	1818
227	535	1813
228	536	1807
229	538	1801
230	539	1795
231	540	1789
232	541	1783
233	543	1777
234	545	1776
235	547	1772
236	548	1767
237	550	1761
238	551	1755
239	552	1750
240	553	1744
241	555	1739
242	556	1733
243	558	1729
244	560	1728
245	562	1723
246	563	1717
247	564	1712
248	566	1707
249	567	1702
250	568	1697
251	570	1691
252	571	1686
253	572	1681
254	574	1678
255	576	1674
256	577	1669
257	578	1664
258	580	1661
259	581	1656
260	583	1651
261	584	1645
262	585	1640
263	590	1644
264	591	1640
265	593	1636
266	594	1631
267	595	1626
268	597	1622
269	599	1619
270	600	1615
271	604	1617
272	605	1613
273	607	1609
274	608	1604
275	610	1600
276	611	1595
277	612	1590
278	613	1585
279	614	1581
280	617	1579
281	619	1577
282	621	1574
283	622	1570
284	623	1565
285	625	1560
286	626	1556
287	627	1551
288	628	1547
289	630	1542
290	633	1542
